Variable,"健康对照
(n=1858)","HTN无EIH
(n=738)","HTN有EIH
(n=277)","单纯EIH
(n=333)",P value
年龄（岁） (median[IQR]),"67.0 [63.0, 72.0]","67.0 [63.0, 71.0]","67.0 [63.0, 71.0]","67.0 [64.0, 71.0]",0.375
VO₂peak（mL/kg/min） (median[IQR]),"23.2 [19.5, 28.3] [n=1856]","19.2 [16.2, 23.0]","20.1 [16.8, 23.4] [n=275]","23.5 [19.3, 28.9] [n=323]",<0.001
VO₂peak占预测值（%） (median[IQR]),"77.0 [66.0, 88.0] [n=1853]","72.0 [62.0, 86.0] [n=733]","80.0 [67.0, 91.0] [n=274]","79.0 [68.5, 92.0] [n=323]",<0.001
峰值心率（bpm） (median[IQR]),"154.0 [140.0, 167.0] [n=1851]","134.0 [119.0, 148.0] [n=736]","145.0 [129.0, 158.0] [n=273]","158.0 [145.0, 170.0] [n=323]",<0.001
峰值收缩压（mmHg） (median[IQR]),"161.0 [144.0, 178.2] [n=1856]","171.0 [155.0, 184.0] [n=736]","214.0 [204.0, 226.0] [n=241]","212.0 [200.0, 223.0] [n=228]",<0.001
VE/VCO₂斜率 (median[IQR]),"26.7 [24.2, 29.4] [n=1853]","27.8 [25.3, 30.8] [n=735]","27.6 [24.8, 30.0] [n=275]","27.4 [24.4, 30.0] [n=322]",<0.001
O₂脉搏峰值（mL/beat） (median[IQR]),"10.0 [8.0, 13.0] [n=1852]","10.0 [8.2, 13.0] [n=736]","10.0 [8.0, 13.0] [n=275]","11.0 [8.0, 14.0] [n=320]",0.036
"女性（n, %）",926 (49.8%),312 (42.3%),135 (48.9%),147 (45.1%),0.004
"高血压病史（n, %）",0 (0.0%),738 (100.0%),277 (100.0%),0 (0.0%),<0.001
"运动性高血压（n, %）",0 (0.0%),0 (0.0%),277 (100.0%),333 (100.0%),<0.001
"冠心病病史（n, %）",—,—,—,—,—
"糖尿病（n, %）",0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),<0.001
